Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1966-06-30,86.06,2.83,5.46,32.4,4.81,654.61778055556,21.526473611111,41.531641666667,21.555253383226
1966-05-31,86.78,2.81333,5.42,32.3,4.78,662.13811671827,21.46592565,41.355019504644,21.852177976763
1966-04-30,91.6,2.79667,5.38,32.3,4.75,698.91508978328,21.338808560526,41.049816408669,23.113696462616
1966-03-31,88.88,2.78,5.34,32.1,4.87,682.38658317757,21.343774766355,40.998473831776,22.61111258229
1966-02-28,92.69,2.76,5.29,32.0,4.83,713.86217296875,21.256441875,40.74151359375,23.700027145579
1966-01-31,93.32,2.74,5.24,31.8,4.61,723.23440188679,21.235129245283,40.610247169811,24.058483388422
1965-12-31,91.73,2.72,5.19,31.8,4.62,710.91182688679,21.080128301887,40.222744811321,23.694111549106
1965-11-30,92.15,2.7,5.12,31.7,4.45,716.41973895899,20.991137223975,39.805415772871,23.925461156674
1965-10-31,91.39,2.68,5.05,31.7,4.35,710.51112255521,20.835647318612,39.261201104101,23.775745523313
1965-09-30,89.38,2.66,4.98,31.6,4.29,697.08338829114,20.745600949367,38.839508544304,23.374146831649
1965-08-31,86.49,2.64333,4.93333,31.6,4.25,674.54399477848,20.615589984019,38.475524635918,22.665971845964
1965-07-31,84.91,2.62667,4.88667,31.6,4.2,662.22141977848,20.485657009652,38.111618718513,22.300781712174
1965-06-30,85.04,2.61,4.84,31.6,4.21,663.23530253165,20.355646044304,37.747634810127,22.385342986458
1965-05-31,89.28,2.59,4.78667,31.4,4.21,700.73853248408,20.328324363057,37.56949049379,23.708808308862
1965-04-30,87.97,2.57,4.73333,31.4,4.2,690.45663869427,20.17134888535,37.150836894745,23.420551954771
1965-03-31,86.83,2.55,4.68,31.3,4.21,683.68638162939,20.078317092652,36.849617252396,23.253528200035
1965-02-28,86.75,2.53333,4.63667,31.2,4.21,685.24575721154,20.010992900481,36.625457580288,23.372068272751
1965-01-31,86.12,2.51667,4.59333,31.2,4.19,680.26933269231,19.87939411875,36.283111169712,23.269335081922
1964-12-31,83.96,2.5,4.55,31.2,4.18,663.20730576923,19.747716346154,35.94084375,22.752984772787
1964-11-30,85.44,2.48,4.52333,31.2,4.15,674.89795384615,19.589734615385,35.730175112019,23.225019793096
1964-10-31,84.85,2.46,4.49667,31.1,4.19,672.39259726688,19.494234405145,35.633796350643,23.212154680675
1964-09-30,83.41,2.44,4.47,31.1,4.2,660.98133810289,19.335744694534,35.422450321543,22.892221984232
1964-08-31,82.0,2.42,4.42333,31.0,4.19,651.90396774194,19.239117096774,35.165687532097,22.650407292939
1964-07-31,83.22,2.4,4.37667,31.1,4.19,659.47568585209,19.018765273312,34.682858086977,22.984351845738
1964-06-30,80.24,2.38,4.33,31.0,4.17,637.91188258065,18.92111516129,34.423709516129,22.300288036083
1964-05-31,80.72,2.36333,4.28,30.9,4.2,643.80469514563,18.849392346117,34.136324271845,22.574330769564
1964-04-30,79.94,2.34667,4.23,30.9,4.23,637.58358932039,18.716515906311,33.737535436893,22.422192169737
1964-03-31,78.8,2.33,4.18,30.9,4.22,628.4912038835,18.583559708738,33.338746601942,22.167245585983
1964-02-29,77.39,2.31333,4.12667,30.9,4.15,617.24535873786,18.450603511165,32.913398430583,21.83267082671
1964-01-31,76.45,2.29667,4.07333,30.9,4.17,609.74812864078,18.317727071359,32.487970501456,21.627216196981
1963-12-31,74.17,2.28,4.02,30.9,4.13,591.56335776699,18.184770873786,32.062622330097,21.038599376737
1963-11-30,72.62,2.25667,4.0,30.8,4.12,581.0814262987,18.057133328084,32.006688311688,20.72039933534
1963-10-31,73.03,2.23333,3.98,30.8,4.11,584.36211185065,17.870374301786,31.84665487013,20.891344595411
1963-09-30,72.85,2.21,3.96,30.7,4.08,584.82057899023,17.741296905537,31.789835179153,20.960360090705
1963-08-31,70.98,2.20667,3.92,30.7,4.0,569.80871237785,17.714564544137,31.468725732899,20.472637900528
1963-07-31,69.07,2.20333,3.88,30.7,4.02,554.47573631922,17.687751905375,31.147616286645,19.96923188595
1963-06-30,70.11,2.2,3.84,30.6,3.99,564.66387794118,17.718735294118,30.927247058824,20.384149993841
1963-05-31,70.14,2.18333,3.79667,30.5,3.93,566.75764622951,17.642129622787,30.678525131311,20.507585864953
1963-04-30,68.76,2.16667,3.75333,30.5,3.97,555.60672590164,17.507510541148,30.32832159,20.150077238227
1963-03-31,65.67,2.15,3.71,30.5,3.93,530.63836081967,17.372810655738,29.978198852459,19.288064606605
1963-02-28,65.92,2.14333,3.69667,30.4,3.92,534.41062105263,17.375884654441,29.968745608717,19.469191309671
1963-01-31,65.06,2.13667,3.68333,30.4,3.83,527.43863782895,17.321892319243,29.860598799178,19.259231693254
1962-12-31,62.64,2.13,3.67,30.4,3.86,507.81980131579,17.267818914474,29.752533059211,18.58583611844
1962-11-30,60.04,2.11333,3.62333,30.4,3.92,486.7417125,17.132675937336,29.374181364967,17.854386489497
1962-10-31,56.17,2.09667,3.57667,30.4,3.93,455.36778799342,16.99761402977,28.995910740296,16.739820967901
1962-09-30,58.0,2.08,3.53,30.4,3.98,470.20351973684,16.862471052632,28.617559046053,17.321461147465
1962-08-31,58.52,2.07333,3.51,30.3,3.98,475.98487722772,16.863870907426,28.549332178218,17.571262631046
1962-07-31,56.97,2.06667,3.49,30.3,4.01,463.37762227723,16.809700379703,28.386657920792,17.141325661323
1962-06-30,55.63,2.06,3.47,30.2,3.91,453.97672003311,16.81093013245,28.317440562914,16.827571244792
1962-05-31,62.99,2.05333,3.43667,30.2,3.87,514.03907235099,16.756498625662,28.045446241887,19.089367498117
1962-04-30,68.05,2.04667,3.40333,30.2,3.84,555.33193956954,16.702148725331,27.773370314404,20.658336447649
1962-03-31,70.29,2.04,3.37,30.1,3.93,575.51747292359,16.703025249169,27.59274269103,21.443158568526
1962-02-28,70.22,2.03333,3.31,30.1,4.04,574.94432990033,16.648412906811,27.101477242525,21.451687754873
1962-01-31,69.07,2.02667,3.25,30.0,4.08,567.4135035,16.6491953835,26.6989125,21.197931400015
1961-12-31,71.74,2.02,3.19,30.0,4.06,589.347687,16.594401,26.2060095,22.041480198382
1961-11-30,71.08,2.0,3.14333,30.0,3.94,583.925754,16.4301,25.8226131165,21.85795772196
1961-10-31,68.0,1.98,3.09667,30.0,3.92,558.6234,16.265799,25.4392988835,20.924190141011
1961-09-30,67.26,1.96,3.05,30.0,3.98,552.544263,16.101498,25.0559025,20.705243044147
1961-08-31,67.79,1.95333,3.04333,29.9,4.04,558.76077541806,16.100371521572,25.084723862709,20.941688475215
1961-07-31,65.44,1.94667,3.03667,30.0,3.92,537.592872,15.9919913835,24.9463958835,20.146643736827
1961-06-30,65.62,1.94,3.03,29.8,3.88,542.68951107383,16.044158053691,25.058659228188,20.332414551592
1961-05-31,66.5,1.94,3.05,29.8,3.71,549.96727348993,16.044158053691,25.224062919463,20.598606843297
1961-04-30,65.83,1.94,3.07,29.8,3.78,544.42624983221,16.044158053691,25.389466610738,20.382842975755
1961-03-31,64.12,1.94,3.09,29.8,3.74,530.28423422819,16.044158053691,25.554870302013,19.844225272726
1961-02-28,62.17,1.94333,3.15,29.8,3.78,514.15737432886,16.071697768289,26.051081375839,19.234014498298
1961-01-31,59.72,1.94667,3.21,29.8,3.84,493.89542214765,16.099320184732,26.547292449664,18.470416986477
1960-12-31,56.8,1.95,3.27,29.8,3.84,469.74648322148,16.126859899329,27.04350352349,17.562090833957
1960-11-30,55.47,1.95,3.27,29.8,3.93,458.74713775168,16.126859899329,27.04350352349,17.146088452419
1960-10-31,53.73,1.95,3.27,29.8,3.89,444.35701661074,16.126859899329,27.04350352349,16.605104536251
1960-09-30,54.81,1.95,3.27,29.6,3.8,456.35157820946,16.235825168919,27.226229898649,17.052015467818
1960-08-31,56.51,1.95,3.26667,29.6,3.8,470.50588733108,16.235825168919,27.198504104899,17.582113039578
1960-07-31,55.84,1.95,3.26333,29.6,3.9,464.92742432432,16.235825168919,27.170695050507,17.376806472898
1960-06-30,57.26,1.95,3.26,29.6,4.15,476.75043547297,16.235825168919,27.142969256757,17.823363817265
